"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"My goals is to save $250 each month.","Attainability",2.75,NA,2,NA,NA,NA,NA,NA
"My goals is to save $250 each month.","Consensus",3,NA,4.75,NA,NA,NA,NA,NA
"My goals is to save $250 each month.","External",2.6,NA,3.75,NA,NA,NA,NA,NA
"My goals is to save $250 each month.","Instrumentality",5,NA,5.5,NA,NA,NA,NA,NA
"My goals is to save $250 each month.","Measurability",5.5,NA,7,NA,NA,NA,NA,NA
"My goals is to save $250 each month.","Value",3.71428571428571,NA,4.85714285714286,NA,NA,NA,NA,NA
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","Attainability",NA,NA,NA,3.5,NA,NA,NA,7
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","Consensus",NA,NA,NA,1.25,NA,NA,NA,1
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","External",NA,NA,NA,4.2,NA,NA,NA,4.6
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","Instrumentality",NA,NA,NA,4,NA,NA,NA,3
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","Measurability",NA,NA,NA,5,NA,NA,NA,4.5
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ.","Value",NA,NA,NA,3.71428571428571,NA,NA,NA,5.14285714285714
"My next goal is to go through every room in my and prepare items to go to Goodwill","Attainability",NA,NA,NA,NA,5.5,NA,NA,6
"My next goal is to go through every room in my and prepare items to go to Goodwill","Consensus",NA,NA,NA,NA,2.5,NA,NA,0.5
"My next goal is to go through every room in my and prepare items to go to Goodwill","External",NA,NA,NA,NA,3.2,NA,NA,1.6
"My next goal is to go through every room in my and prepare items to go to Goodwill","Instrumentality",NA,NA,NA,NA,4,NA,NA,3
"My next goal is to go through every room in my and prepare items to go to Goodwill","Measurability",NA,NA,NA,NA,4.5,NA,NA,4
"My next goal is to go through every room in my and prepare items to go to Goodwill","Value",NA,NA,NA,NA,5,NA,NA,3.42857142857143
"My primary goal is to complete renovations on our new home and move into the home before winter.","Attainability",NA,NA,NA,NA,NA,NA,NA,5.33333333333333
"My primary goal is to complete renovations on our new home and move into the home before winter.","Consensus",NA,NA,NA,NA,NA,NA,NA,1.75
"My primary goal is to complete renovations on our new home and move into the home before winter.","External",NA,NA,NA,NA,NA,NA,NA,5.4
"My primary goal is to complete renovations on our new home and move into the home before winter.","Instrumentality",NA,NA,NA,NA,NA,NA,NA,5
"My primary goal is to complete renovations on our new home and move into the home before winter.","Measurability",NA,NA,NA,NA,NA,NA,NA,5
"My primary goal is to complete renovations on our new home and move into the home before winter.","Value",NA,NA,NA,NA,NA,NA,NA,4
"My second goal is to paint my kitchen cabinets within the next three months.","Attainability",NA,5.5,NA,NA,NA,4,NA,NA
"My second goal is to paint my kitchen cabinets within the next three months.","Consensus",NA,0.75,NA,NA,NA,1.5,NA,NA
"My second goal is to paint my kitchen cabinets within the next three months.","External",NA,3.6,NA,NA,NA,4.4,NA,NA
"My second goal is to paint my kitchen cabinets within the next three months.","Instrumentality",NA,4,NA,NA,NA,4.5,NA,NA
"My second goal is to paint my kitchen cabinets within the next three months.","Measurability",NA,3.5,NA,NA,NA,6,NA,NA
"My second goal is to paint my kitchen cabinets within the next three months.","Value",NA,2.85714285714286,NA,NA,NA,2.42857142857143,NA,NA
"My second goal is to save $20,000 dollars in the next three months","Attainability",NA,NA,NA,NA,2.25,NA,NA,4.66666666666667
"My second goal is to save $20,000 dollars in the next three months","Consensus",NA,NA,NA,NA,3,NA,NA,2.5
"My second goal is to save $20,000 dollars in the next three months","External",NA,NA,NA,NA,4,NA,NA,5
"My second goal is to save $20,000 dollars in the next three months","Instrumentality",NA,NA,NA,NA,7,NA,NA,4.5
"My second goal is to save $20,000 dollars in the next three months","Measurability",NA,NA,NA,NA,6.5,NA,NA,6
"My second goal is to save $20,000 dollars in the next three months","Value",NA,NA,NA,NA,3.28571428571429,NA,NA,5.85714285714286
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","Attainability",NA,NA,2.5,2.5,NA,NA,NA,NA
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","Consensus",NA,NA,5,1.75,NA,NA,NA,NA
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","External",NA,NA,4.66666666666667,3.4,NA,NA,NA,NA
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","Instrumentality",NA,NA,5,4.5,NA,NA,NA,NA
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","Measurability",NA,NA,4.5,5,NA,NA,NA,NA
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","Value",NA,NA,5.33333333333333,3.14285714285714,NA,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","Attainability",NA,NA,NA,4,5.75,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","Consensus",NA,NA,NA,2.75,3.25,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","External",NA,NA,NA,2.4,4.2,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","Instrumentality",NA,NA,NA,4,4,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","Measurability",NA,NA,NA,5.5,6,NA,NA,NA
"My third goal is to exercise more by walking daily every day in the next 3 months.","Value",NA,NA,NA,3.42857142857143,3.42857142857143,NA,NA,NA
"organize a musical recording/video for Fall 2021","Attainability",NA,NA,2.33333333333333,3.75,NA,NA,NA,NA
"organize a musical recording/video for Fall 2021","Consensus",NA,NA,-2,0.75,NA,NA,NA,NA
"organize a musical recording/video for Fall 2021","External",NA,NA,4,2.6,NA,NA,NA,NA
"organize a musical recording/video for Fall 2021","Instrumentality",NA,NA,5,4,NA,NA,NA,NA
"organize a musical recording/video for Fall 2021","Measurability",NA,NA,4.5,5.5,NA,NA,NA,NA
"organize a musical recording/video for Fall 2021","Value",NA,NA,4.25,2.57142857142857,NA,NA,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","Attainability",2.25,NA,NA,NA,NA,3.5,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","Consensus",2.25,NA,NA,NA,NA,3.25,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","External",4.6,NA,NA,NA,NA,5.6,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","Instrumentality",4,NA,NA,NA,NA,4.5,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","Measurability",6,NA,NA,NA,NA,6,NA,NA
"Pay down Debt- personally pay $100+ of Mturk revenue per month to debt, ongoing.","Value",3.57142857142857,NA,NA,NA,NA,4.57142857142857,NA,NA
"pay off $1000 of debt in 3 months","Attainability",NA,NA,NA,2,4.5,NA,NA,NA
"pay off $1000 of debt in 3 months","Consensus",NA,NA,NA,2.33333333333333,4.5,NA,NA,NA
"pay off $1000 of debt in 3 months","External",NA,NA,NA,4.2,5.6,NA,NA,NA
"pay off $1000 of debt in 3 months","Instrumentality",NA,NA,NA,3.5,6.5,NA,NA,NA
"pay off $1000 of debt in 3 months","Measurability",NA,NA,NA,5.5,5.5,NA,NA,NA
"pay off $1000 of debt in 3 months","Value",NA,NA,NA,3.71428571428571,6,NA,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","Attainability",NA,NA,NA,NA,NA,2.5,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","Consensus",NA,NA,NA,NA,NA,3.5,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","External",NA,NA,NA,NA,NA,5.4,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","Instrumentality",NA,NA,NA,NA,NA,4,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","Measurability",NA,NA,NA,NA,NA,5.5,NA,NA
"Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.","Value",NA,NA,NA,NA,NA,5,NA,NA
"Pay off all debts, except car and house, within 8 months","Attainability",NA,6,0,NA,NA,NA,NA,NA
"Pay off all debts, except car and house, within 8 months","Consensus",NA,3.25,1.75,NA,NA,NA,NA,NA
"Pay off all debts, except car and house, within 8 months","External",NA,3.66666666666667,4,NA,NA,NA,NA,NA
"Pay off all debts, except car and house, within 8 months","Instrumentality",NA,6,3,NA,NA,NA,NA,NA
"Pay off all debts, except car and house, within 8 months","Measurability",NA,6.5,4.5,NA,NA,NA,NA,NA
"Pay off all debts, except car and house, within 8 months","Value",NA,5.57142857142857,3.71428571428571,NA,NA,NA,NA,NA
"Pay off credit card","Attainability",NA,NA,NA,2.75,NA,NA,1.66666666666667,NA
"Pay off credit card","Consensus",NA,NA,NA,3,NA,NA,3.25,NA
"Pay off credit card","External",NA,NA,NA,4.2,NA,NA,4.8,NA
"Pay off credit card","Instrumentality",NA,NA,NA,4,NA,NA,5,NA
"Pay off credit card","Measurability",NA,NA,NA,3.5,NA,NA,4.5,NA
"Pay off credit card","Value",NA,NA,NA,3.42857142857143,NA,NA,3.42857142857143,NA
"Pay off credit card debt in the next 2 years","Attainability",NA,NA,NA,NA,NA,1.25,2.25,NA
"Pay off credit card debt in the next 2 years","Consensus",NA,NA,NA,NA,NA,4.25,3.5,NA
"Pay off credit card debt in the next 2 years","External",NA,NA,NA,NA,NA,5.6,4.4,NA
"Pay off credit card debt in the next 2 years","Instrumentality",NA,NA,NA,NA,NA,5.5,5,NA
"Pay off credit card debt in the next 2 years","Measurability",NA,NA,NA,NA,NA,5.5,4,NA
"Pay off credit card debt in the next 2 years","Value",NA,NA,NA,NA,NA,5,4.14285714285714,NA
"pay off credit cards","Attainability",4.33333333333333,NA,NA,NA,NA,NA,NA,3.66666666666667
"pay off credit cards","Consensus",1.25,NA,NA,NA,NA,NA,NA,3.75
"pay off credit cards","External",4,NA,NA,NA,NA,NA,NA,5.4
"pay off credit cards","Instrumentality",4.5,NA,NA,NA,NA,NA,NA,5.5
"pay off credit cards","Measurability",4.5,NA,NA,NA,NA,NA,NA,1.5
"pay off credit cards","Value",2.85714285714286,NA,NA,NA,NA,NA,NA,4.28571428571429
"Pay off debts.","Attainability",1.25,2,NA,NA,NA,NA,NA,NA
"Pay off debts.","Consensus",3.25,4.25,NA,NA,NA,NA,NA,NA
"Pay off debts.","External",4.8,4.4,NA,NA,NA,NA,NA,NA
"Pay off debts.","Instrumentality",4.5,5.5,NA,NA,NA,NA,NA,NA
"Pay off debts.","Measurability",4,4,NA,NA,NA,NA,NA,NA
"Pay off debts.","Value",3.57142857142857,5.57142857142857,NA,NA,NA,NA,NA,NA
"Pay off our Storage Locker by the beginning of April.","Attainability",NA,NA,NA,NA,NA,NA,4,NA
"Pay off our Storage Locker by the beginning of April.","Consensus",NA,NA,NA,NA,NA,NA,1.25,NA
"Pay off our Storage Locker by the beginning of April.","External",NA,NA,NA,NA,NA,NA,3.8,NA
"Pay off our Storage Locker by the beginning of April.","Instrumentality",NA,NA,NA,NA,NA,NA,4.5,NA
"Pay off our Storage Locker by the beginning of April.","Measurability",NA,NA,NA,NA,NA,NA,5,NA
"Pay off our Storage Locker by the beginning of April.","Value",NA,NA,NA,NA,NA,NA,3.28571428571429,NA
"Pay off this house","Attainability",NA,4.5,NA,1.5,NA,NA,NA,NA
"Pay off this house","Consensus",NA,1.75,NA,3.5,NA,NA,NA,NA
"Pay off this house","External",NA,5,NA,3.6,NA,NA,NA,NA
"Pay off this house","Instrumentality",NA,5.5,NA,3.5,NA,NA,NA,NA
"Pay off this house","Measurability",NA,6.5,NA,4,NA,NA,NA,NA
"Pay off this house","Value",NA,6,NA,3.5,NA,NA,NA,NA
"Paying down my credit cards until they are done.","Attainability",NA,NA,NA,2.25,NA,NA,2,NA
"Paying down my credit cards until they are done.","Consensus",NA,NA,NA,3,NA,NA,3,NA
"Paying down my credit cards until they are done.","External",NA,NA,NA,3.8,NA,NA,4.8,NA
"Paying down my credit cards until they are done.","Instrumentality",NA,NA,NA,3.5,NA,NA,4.5,NA
"Paying down my credit cards until they are done.","Measurability",NA,NA,NA,4.5,NA,NA,5.5,NA
"Paying down my credit cards until they are done.","Value",NA,NA,NA,3.28571428571429,NA,NA,4.42857142857143,NA
"planning for potential move within next few months","Attainability",NA,NA,0.5,NA,NA,1.25,NA,NA
"planning for potential move within next few months","Consensus",NA,NA,4,NA,NA,2.25,NA,NA
"planning for potential move within next few months","External",NA,NA,4.75,NA,NA,4.6,NA,NA
"planning for potential move within next few months","Instrumentality",NA,NA,4.5,NA,NA,4,NA,NA
"planning for potential move within next few months","Measurability",NA,NA,2.5,NA,NA,4,NA,NA
"planning for potential move within next few months","Value",NA,NA,4.4,NA,NA,4.14285714285714,NA,NA
"Possibly get a 2nd job this summer working at the Water Park for 5 months starting in May, if not do active survey tasks and transcription for extra income by May-June.","Attainability",NA,NA,NA,NA,NA,NA,3.5,7.33333333333333
"Possibly get a 2nd job this summer working at the Water Park for 5 months starting in May, if not do active survey tasks and transcription for extra income by May-June.","Consensus",NA,NA,NA,NA,NA,NA,1.75,0.5
"Possibly get a 2nd job this summer working at the Water Park for 5 months starting in May, if not do active survey tasks and transcription for extra income by May-June.","External",NA,NA,NA,NA,NA,NA,5.66666666666667,3.4
"Possibly get a 2nd job this summer working at the Water Park for 5 months starting in May, if not do active survey tasks and transcription for extra income by May-June.","Instrumentality",NA,NA,NA,NA,NA,NA,5,5.5
